NAME,Employee,Direct,Medicare,Medicaid,VA,state,county,noins
"Fayette County, Illinois",6281,984,659,2751,77,17,51,
"Logan County, Illinois",9956,1848,621,2526,120,17,107,1357.0
"Saline County, Illinois",7159,1348,769,4568,196,17,165,971.0
"Lake County, Illinois",290874,46548,8676,36170,6627,17,97,778.0
"Massac County, Illinois",4550,557,574,2088,64,17,127,39612.0
"Cass County, Illinois",4679,719,272,1237,90,17,17,578.0
"Huntington County, Indiana",15349,2395,882,1736,381,18,69,577.0
"White County, Indiana",8778,1354,688,1500,237,18,181,2301.0
"Jay County, Indiana",6992,1175,503,2047,21,18,75,1778.0
"Shelby County, Indiana",18170,2476,964,2723,637,18,145,1496.0
"Sullivan County, Indiana",6636,724,540,2221,158,18,153,2550.0
"Tippecanoe County, Indiana",85504,17819,3439,10640,1438,18,157,1342.0
"Hamilton County, Indiana",152665,22766,3023,7824,2882,18,57,12661.0
"Bartholomew County, Indiana",34511,3642,2209,5590,360,18,5,10807.0
"Fulton County, Indiana",7424,1222,737,1370,270,18,49,5195.0
"Noble County, Indiana",19428,2512,1155,2617,218,18,113,1369.0
"Clark County, Indiana",47792,5916,3992,8144,1138,18,19,2842.0
"Hendricks County, Indiana",74101,10575,2480,6039,1442,18,63,6983.0
"Grant County, Indiana",23773,3051,2310,6768,556,18,53,7552.0
"Jackson County, Indiana",16841,2557,1588,3191,122,18,71,4957.0
"Owen County, Indiana",7172,1127,659,2153,87,18,119,3080.0
"Whitley County, Indiana",14420,2149,730,1546,116,18,183,1773.0
"Clinton County, Indiana",11732,1737,927,2087,108,18,23,1830.0
"Union County, Indiana",2797,382,161,312,30,18,161,2516.0
"Dearborn County, Indiana",20790,2323,1535,3677,373,18,29,616.0
"Lawrence County, Indiana",16363,2993,1848,3593,448,18,93,2118.0
"Perry County, Indiana",7224,961,575,1124,116,18,123,3047.0
"Posey County, Indiana",11438,1195,555,1460,90,18,129,658.0
"Carroll County, Indiana",7905,1210,535,1102,193,18,15,1133.0
"Fountain County, Indiana",6242,723,464,1354,148,18,45,1236.0
"Starke County, Indiana",7798,1597,1117,2819,187,18,149,1101.0
"Greene County, Indiana",11485,1786,972,2945,338,18,55,1058.0
"Benton County, Iowa",11078,1800,570,1774,84,19,11,2128.0
"Dubuque County, Iowa",41283,6634,2020,6964,722,19,61,480.0
"Pocahontas County, Iowa",2330,693,79,619,31,19,151,2970.0
"Van Buren County, Iowa",2039,551,214,766,46,19,177,260.0
"Adams County, Iowa",1265,377,70,295,7,19,3,521.0
"Audubon County, Iowa",1715,618,118,513,56,19,9,149.0
"Davis County, Iowa",2406,521,136,592,22,19,51,263.0
"Ida County, Iowa",2556,502,81,474,31,19,93,1090.0
"Monroe County, Iowa",3151,402,115,598,34,19,135,200.0
"Sioux County, Iowa",14406,3191,282,1446,173,19,167,212.0
"Calhoun County, Iowa",2986,918,231,724,66,19,25,1159.0
"Cerro Gordo County, Iowa",16245,2868,1337,4186,267,19,33,278.0
"Hardin County, Iowa",6702,1264,245,1247,96,19,83,1729.0
"Lucas County, Iowa",3107,485,192,952,81,19,117,511.0
"Palo Alto County, Iowa",2971,1004,205,696,88,19,147,322.0
"Henry County, Iowa",7160,1373,507,1964,173,19,87,312.0
"Jasper County, Iowa",14332,2206,983,3248,243,19,99,563.0
"Poweshiek County, Iowa",7510,1223,324,1238,51,19,157,959.0
"Clayton County, Iowa",6156,1398,455,1664,96,19,43,872.0
"Bremer County, Iowa",10651,1754,225,1241,190,19,17,616.0
"Emmet County, Iowa",3476,943,161,679,64,19,63,572.0
"Hancock County, Iowa",4330,893,195,692,65,19,81,541.0
"Jackson County, Iowa",7254,1302,452,1837,173,19,97,293.0
"Lee County, Iowa",12122,1933,1117,4129,208,19,111,705.0
"Warren County, Iowa",22562,2764,724,3273,657,19,181,1141.0
"Mahaska County, Iowa",8017,1746,629,2201,66,19,123,1143.0
"Clay County, Iowa",6112,1255,386,1251,152,19,41,852.0
"Delaware County, Iowa",6815,1772,304,906,46,19,55,510.0
"Bacon County, Georgia",3006,481,306,669,103,13,5,451.0
"Brantley County, Georgia",4873,908,1355,2540,590,13,25,1721.0
"Ben Hill County, Georgia",4513,884,682,1195,260,13,17,2150.0
"Burke County, Georgia",7521,1042,733,1412,436,13,33,2661.0
"Catoosa County, Georgia",25190,4109,2302,3370,554,13,47,2357.0
"Chattahoochee County, Georgia",970,190,263,404,1617,13,53,6403.0
"Chattooga County, Georgia",6635,1294,1475,2140,79,13,55,350.0
"Columbia County, Georgia",56423,8356,3029,4752,13719,13,73,2888.0
"Decatur County, Georgia",6938,1034,736,2055,309,13,87,9917.0
"Floyd County, Georgia",31928,6489,3122,6075,985,13,115,4197.0
"Forsyth County, Georgia",100979,17007,1629,3401,1861,13,117,11408.0
"Habersham County, Georgia",13969,2853,1482,1762,467,13,137,15357.0
"Hart County, Georgia",7484,1912,1209,1834,208,13,147,5335.0
"Lowndes County, Georgia",37685,6362,2857,6179,5964,13,185,2671.0
"McIntosh County, Georgia",3955,925,584,908,334,13,191,14427.0
"Meriwether County, Georgia",6814,1052,1024,1472,125,13,199,1775.0
"Monroe County, Georgia",10259,1958,865,1467,261,13,207,2404.0
"Putnam County, Georgia",6799,1280,745,1308,212,13,237,2579.0
"Sumter County, Georgia",9118,2594,920,2334,292,13,261,2652.0
"Taliaferro County, Georgia",423,152,115,194,42,13,265,3186.0
"Warren County, Georgia",1635,148,176,578,9,13,301,161.0
"Wayne County, Iowa",1823,542,147,680,41,19,185,651.0
"Scott County, Iowa",71166,8941,3791,16347,1876,19,163,400.0
"Sherman County, Kansas",2177,500,152,365,17,20,181,6651.0
"Thomas County, Kansas",3247,757,80,234,23,20,193,380.0
"Morris County, Kansas",1995,399,118,173,137,20,127,448.0
