NAME,Employee,Direct,Medicare,Medicaid,VA,state,county,noins
"Fayette County, Illinois",2052,201,6,2329,82,17,51,
"Logan County, Illinois",3474,580,131,2123,10,17,107,277.0
"Saline County, Illinois",2233,345,27,2960,12,17,165,171.0
"Lake County, Illinois",115219,13041,852,51028,3417,17,97,215.0
"Massac County, Illinois",1607,223,0,1535,7,17,127,5798.0
"Cass County, Illinois",1772,106,25,1410,64,17,17,174.0
"Huntington County, Indiana",5448,475,33,2334,156,18,69,98.0
"White County, Indiana",3716,337,15,1919,106,18,181,510.0
"Jay County, Indiana",2845,329,30,2512,28,18,75,485.0
"Shelby County, Indiana",6619,479,0,3402,268,18,145,293.0
"Sullivan County, Indiana",2041,273,20,1801,11,18,153,410.0
"Tippecanoe County, Indiana",29277,3695,310,11987,421,18,157,469.0
"Hamilton County, Indiana",75278,8459,187,9223,1412,18,57,2129.0
"Bartholomew County, Indiana",12942,1076,723,5205,135,18,5,3179.0
"Fulton County, Indiana",2691,198,1,1547,54,18,49,1642.0
"Noble County, Indiana",7706,752,90,3538,53,18,113,677.0
"Clark County, Indiana",17417,847,54,8749,431,18,19,1112.0
"Hendricks County, Indiana",32741,3397,177,7144,571,18,63,1251.0
"Grant County, Indiana",6844,413,72,7710,163,18,53,2170.0
"Jackson County, Indiana",6734,942,59,3549,167,18,71,667.0
"Owen County, Indiana",2148,291,35,1997,34,18,119,525.0
"Whitley County, Indiana",5293,415,136,1985,162,18,183,460.0
"Clinton County, Indiana",4863,264,100,3551,74,18,23,736.0
"Union County, Indiana",1150,46,0,431,0,18,161,655.0
"Dearborn County, Indiana",7892,604,9,3584,99,18,29,58.0
"Lawrence County, Indiana",5650,593,78,4080,155,18,93,336.0
"Perry County, Indiana",2868,182,0,1309,44,18,123,688.0
"Posey County, Indiana",4560,375,57,1334,18,18,129,75.0
"Carroll County, Indiana",2680,339,28,1595,89,18,15,71.0
"Fountain County, Indiana",2316,170,35,1414,116,18,45,408.0
"Starke County, Indiana",3076,504,77,2180,146,18,149,191.0
"Greene County, Indiana",4486,324,8,2525,70,18,55,132.0
"Benton County, Iowa",4401,402,72,2021,50,19,11,370.0
"Dubuque County, Iowa",16503,1609,147,6490,320,19,61,85.0
"Pocahontas County, Iowa",595,358,1,658,18,19,151,568.0
"Van Buren County, Iowa",595,203,0,722,8,19,177,18.0
"Adams County, Iowa",454,53,3,277,5,19,3,301.0
"Audubon County, Iowa",545,95,0,545,44,19,9,59.0
"Davis County, Iowa",803,116,14,758,29,19,51,19.0
"Ida County, Iowa",1006,177,0,548,27,19,93,1197.0
"Monroe County, Iowa",1324,127,5,468,10,19,135,34.0
"Sioux County, Iowa",6218,999,1,3018,117,19,167,96.0
"Calhoun County, Iowa",1299,210,4,803,10,19,25,263.0
"Cerro Gordo County, Iowa",5504,749,118,3182,224,19,33,41.0
"Hardin County, Iowa",2103,289,2,1356,21,19,83,329.0
"Lucas County, Iowa",1134,137,17,975,61,19,117,102.0
"Palo Alto County, Iowa",1343,193,40,691,55,19,147,122.0
"Henry County, Iowa",2716,312,68,1780,36,19,87,94.0
"Jasper County, Iowa",5326,879,27,3269,64,19,99,39.0
"Poweshiek County, Iowa",2786,296,15,1178,5,19,157,89.0
"Clayton County, Iowa",1947,302,2,1601,0,19,43,155.0
"Bremer County, Iowa",4356,624,0,1430,72,19,17,401.0
"Emmet County, Iowa",1114,145,1,857,24,19,63,62.0
"Hancock County, Iowa",1508,230,26,777,23,19,81,42.0
"Jackson County, Iowa",2832,239,1,1655,42,19,97,77.0
"Lee County, Iowa",4271,763,153,3329,153,19,111,116.0
"Warren County, Iowa",9589,857,65,3311,522,19,181,127.0
"Mahaska County, Iowa",3392,439,5,2061,64,19,123,153.0
"Clay County, Iowa",2103,384,4,1461,35,19,41,112.0
"Delaware County, Iowa",2671,621,2,1174,18,19,55,87.0
"Bacon County, Georgia",917,275,123,1388,24,13,5,56.0
"Brantley County, Georgia",1163,206,193,3017,82,13,25,424.0
"Ben Hill County, Georgia",1672,149,118,2369,273,13,17,582.0
"Burke County, Georgia",1974,137,0,3906,84,13,33,285.0
"Catoosa County, Georgia",9684,1030,118,4744,36,13,47,329.0
"Chattahoochee County, Georgia",319,64,27,601,1597,13,53,1167.0
"Chattooga County, Georgia",2156,413,573,2934,26,13,55,23.0
"Columbia County, Georgia",25000,2217,99,5581,8780,13,73,368.0
"Decatur County, Georgia",1697,281,85,4498,126,13,87,1519.0
"Floyd County, Georgia",10842,1705,329,11221,213,13,115,443.0
"Forsyth County, Georgia",50056,6277,255,8032,766,13,117,1309.0
"Habersham County, Georgia",4780,1250,78,3750,149,13,137,4275.0
"Hart County, Georgia",2014,264,25,3199,140,13,147,1361.0
"Lowndes County, Georgia",16226,1663,274,12087,3935,13,185,298.0
"McIntosh County, Georgia",984,140,0,1172,137,13,191,1855.0
"Meriwether County, Georgia",1883,163,125,2387,69,13,199,318.0
"Monroe County, Georgia",3747,364,71,1364,31,13,207,499.0
"Putnam County, Georgia",1225,199,32,2983,99,13,237,529.0
"Sumter County, Georgia",2759,440,8,4227,327,13,261,348.0
"Taliaferro County, Georgia",105,3,0,124,4,13,265,250.0
"Warren County, Georgia",250,77,35,785,10,13,301,18.0
"Wayne County, Iowa",525,152,4,852,9,19,185,26.0
"Scott County, Iowa",26763,2075,64,14732,788,19,163,309.0
"Sherman County, Kansas",737,144,0,499,9,20,181,1039.0
"Thomas County, Kansas",1172,150,0,389,3,20,193,153.0
"Morris County, Kansas",781,143,7,349,45,20,127,177.0
"Rooks County, Kansas",714,124,10,367,0,20,163,72.0
"Clark County, Kansas",347,33,5,104,3,20,25,77.0
"Harper County, Kansas",641,193,13,478,17,20,77,30.0
"Lyon County, Kansas",4113,492,7,3179,231,20,111,194.0
"Pawnee County, Kansas",669,61,0,518,4,20,145,403.0
"Comanche County, Kansas",245,102,0,58,5,20,33,73.0
"Gove County, Kansas",288,98,2,152,5,20,63,59.0
"Harvey County, Kansas",5333,773,46,2811,137,20,79,67.0
"Kearny County, Kansas",522,159,0,430,7,20,93,341.0
"McPherson County, Kansas",4366,558,27,1916,145,20,113,138.0
"Desha County, Arkansas",682,162,52,2285,4,5,41,203.0
"Fulton County, Arkansas",768,51,76,1388,17,5,49,112.0
"Howard County, Arkansas",844,174,11,2488,125,5,61,484.0
"Garland County, Arkansas",5771,1319,236,13166,203,5,51,229.0
"Mississippi County, Arkansas",4162,633,138,6934,125,5,93,1323.0
"Pope County, Arkansas",6976,996,45,7803,239,5,115,520.0
"Prairie County, Arkansas",394,177,44,1082,10,5,117,812.0
"Union County, Arkansas",4823,841,35,4443,52,5,139,102.0
"Woodruff County, Arkansas",416,31,7,977,11,5,147,405.0
"Cleburne County, Arkansas",1574,222,0,3262,102,5,23,47.0
"Cleveland County, Arkansas",857,39,0,1156,0,5,25,228.0
"Jackson County, Arkansas",1251,182,6,2343,44,5,67,13.0
"Hempstead County, Arkansas",2072,168,30,3396,130,5,57,195.0
"Sharp County, Arkansas",893,138,0,2817,94,5,135,390.0
"Stone County, Arkansas",727,97,18,1660,69,5,137,59.0
"Washington County, Arkansas",30800,3451,518,24530,687,5,143,100.0
"Baxter County, Arkansas",2816,621,121,3936,127,5,5,5176.0
"Ashley County, Arkansas",1780,474,6,2776,18,5,3,210.0
"Craighead County, Arkansas",10997,1690,81,14905,436,5,31,71.0
"Greene County, Arkansas",4992,381,23,6172,196,5,55,1613.0
"Perry County, Arkansas",1065,84,10,1223,45,5,105,379.0
"Poinsett County, Arkansas",1256,311,2,4214,116,5,111,53.0
"Sevier County, Arkansas",1633,246,6,3196,43,5,133,344.0
"Calhoun County, Arkansas",478,44,0,576,0,5,13,315.0
"Clark County, Arkansas",2342,175,20,2594,31,5,19,58.0
"Lawrence County, Arkansas",1286,339,59,2367,55,5,75,184.0
"Monroe County, Arkansas",325,112,0,1118,0,5,95,135.0
"Conway County, Arkansas",1815,227,31,3078,50,5,29,76.0
"Newton County, Arkansas",810,99,9,672,11,5,101,118.0
"Arkansas County, Arkansas",1399,377,52,2577,13,5,1,99.0
"Lonoke County, Arkansas",8342,1046,108,7619,3213,5,85,116.0
"Carroll County, Arkansas",2931,471,2,3341,252,5,15,833.0
"St. Francis County, Arkansas",1182,339,51,4714,55,5,123,343.0
"Pulaski County, Arkansas",38040,6548,1303,47996,4373,5,119,215.0
"Merced County, California",28434,4567,388,54026,308,6,47,4373.0
"Mariposa County, California",1409,85,0,1578,38,6,43,2817.0
"Modoc County, California",686,59,8,771,0,6,49,40.0
"Contra Costa County, California",173092,24588,1858,83078,1877,6,13,398.0
"Inyo County, California",2250,585,0,1311,14,6,27,7138.0
"Stanislaus County, California",68788,9507,596,81325,654,6,99,111.0
"Santa Barbara County, California",44704,9848,473,53477,2390,6,83,3350.0
"Tehama County, California",6358,1037,300,9387,148,6,103,4525.0
"Mono County, California",1329,199,29,872,120,6,51,315.0
"San Benito County, California",9308,942,30,6681,87,6,69,269.0
"Bryan County, Georgia",5374,570,79,2707,2882,13,29,408.0
"Butts County, Georgia",2149,368,33,2556,163,13,35,695.0
"Camden County, Georgia",4481,682,12,5620,3385,13,39,162.0
"Crawford County, Georgia",1004,153,117,1294,82,13,79,704.0
"Early County, Georgia",603,98,18,1956,15,13,99,222.0
"Coffee County, Georgia",3396,816,40,5780,371,13,69,39.0
"Coweta County, Georgia",23486,2562,120,10565,748,13,77,1331.0
"Gilmer County, Georgia",1638,163,249,3181,192,13,123,1862.0
"Walton County, Georgia",12611,1402,136,8896,510,13,297,947.0
"Wilkes County, Georgia",749,50,10,1213,36,13,317,1401.0
"Dodge County, Georgia",1977,301,214,1927,27,13,91,307.0
"Gordon County, Georgia",6601,741,789,6505,222,13,129,176.0
"Cherokee County, Georgia",42535,4994,733,13366,1512,13,57,947.0
"Fayette County, Georgia",18442,2984,28,5165,1401,13,113,4234.0
"Lee County, Georgia",4599,313,0,2653,553,13,177,1606.0
"Pickens County, Georgia",3122,790,197,2565,105,13,227,325.0
"Greene County, Georgia",1150,244,32,1865,70,13,133,329.0
"Cook County, Georgia",1763,96,13,2608,36,13,75,262.0
"Dawson County, Georgia",2828,559,27,1933,42,13,85,258.0
"Fulton County, Georgia",132872,19181,1987,84882,2919,13,121,446.0
"Hawaii County, Hawaii",19624,2347,257,23862,738,15,1,13318.0
"Honolulu County, Hawaii",125563,15770,630,59251,41109,15,3,1183.0
"Kauai County, Hawaii",9200,810,21,6790,263,15,7,4357.0
"Kalawao County, Hawaii",1,0,0,0,0,15,5,495.0
"Cassia County, Idaho",3693,915,45,3438,25,16,31,0.0
"Lincoln County, Idaho",486,115,43,959,42,16,63,479.0
"Valley County, Idaho",1118,330,0,503,0,16,85,137.0
"Franklin County, Idaho",3125,252,7,1031,82,16,41,43.0
"Nez Perce County, Idaho",5173,403,23,2834,153,16,69,369.0
"Kootenai County, Idaho",18960,4073,76,14362,650,16,55,685.0
"Minidoka County, Idaho",2417,434,20,3121,5,16,67,2029.0
"Twin Falls County, Idaho",11685,2892,177,9270,672,16,83,432.0
"Blaine County, Idaho",2112,590,11,2472,0,16,13,1630.0
"Boise County, Idaho",816,219,21,408,66,16,15,167.0
"Butte County, Idaho",289,73,23,262,0,16,23,64.0
"Gooding County, Idaho",1626,522,18,2185,63,16,47,8.0
"Ada County, Idaho",73527,12331,454,28459,3575,16,1,237.0
"Bear Lake County, Idaho",1002,186,0,449,10,16,7,4964.0
"Bingham County, Idaho",6947,1250,103,6178,567,16,11,23.0
"Camas County, Idaho",126,22,0,139,22,16,25,821.0
"Clearwater County, Idaho",826,77,8,460,10,16,35,11.0
"Jefferson County, Idaho",5701,1051,8,3199,144,16,51,113.0
"Lane County, Oregon",36484,5903,246,34164,1103,41,39,451.0
"Surry County, Virginia",536,70,2,494,13,51,181,3124.0
"Clarke County, Virginia",2193,289,0,278,93,51,43,106.0
"Mecklenburg County, Virginia",2615,580,17,2917,77,51,117,358.0
"Augusta County, Virginia",9575,1184,36,4530,157,51,15,388.0
"Goochland County, Virginia",3254,340,31,601,118,51,75,607.0
"Madison County, Virginia",1669,249,5,736,30,51,113,76.0
"Roanoke County, Virginia",14721,1418,10,3736,589,51,161,136.0
"Brunswick County, Virginia",1041,211,37,1739,33,51,25,842.0
"Northampton County, Virginia",764,166,31,1268,122,51,131,32.0
"Rockbridge County, Virginia",2222,424,113,1515,121,51,163,254.0
"Norton city, Virginia",266,76,0,651,38,51,720,274.0
"Colonial Heights city, Virginia",2129,245,0,1608,306,51,570,9.0
"Bland County, Virginia",634,75,17,328,0,51,21,156.0
"Botetourt County, Virginia",4987,571,86,1275,176,51,23,90.0
"Bristol city, Virginia",1627,174,0,2075,17,51,520,156.0
"Williamsburg city, Virginia",1727,281,133,620,170,51,830,110.0
"Carroll County, Virginia",2821,756,58,2011,166,51,35,50.0
"Sacramento County, California",197841,23189,2769,169155,3832,6,67,438.0
"El Dorado County, California",27731,3620,202,10201,370,6,17,9639.0
"Monterey County, California",44780,6618,405,66620,3628,6,53,1217.0
"San Francisco County, California",78941,13170,780,36236,477,6,75,3900.0
"San Diego County, California",385900,63868,10263,263494,63582,6,73,1933.0
"Tulare County, California",48238,6862,13292,87156,1176,6,107,29080.0
"Humboldt County, California",11717,2831,254,14885,158,6,23,3635.0
"Alpine County, California",109,11,0,104,0,6,3,1702.0
"Madera County, California",13280,6144,338,28846,484,6,39,8.0
"Santa Cruz County, California",31238,7281,670,22880,195,6,87,1750.0
"Trinity County, California",685,450,51,1158,81,6,105,1348.0
"Riverside County, California",298452,40259,4347,297433,19773,6,65,168.0
"San Bernardino County, California",255684,31017,3029,309192,10472,6,71,25775.0
"Marin County, California",35314,8539,167,13164,407,6,41,23313.0
"Placer County, California",63555,8318,642,18912,2382,6,61,710.0
"Shasta County, California",18159,3239,123,19817,669,6,89,2484.0
"Solano County, California",59724,6299,957,38463,5501,6,95,1426.0
"Colusa County, California",1920,539,0,3853,44,6,11,2266.0
"Copiah County, Mississippi",2111,314,21,4523,63,28,29,187.0
"Hinds County, Mississippi",18954,3287,128,38739,659,28,49,315.0
"Union County, Mississippi",3141,686,37,3643,20,28,145,2782.0
"Tippah County, Mississippi",1902,666,73,2875,171,28,139,262.0
"Forrest County, Mississippi",6371,1562,243,10328,685,28,35,532.0
"Lafayette County, Mississippi",6467,1427,103,3828,128,28,71,674.0
"Lowndes County, Mississippi",6478,647,0,6089,1327,28,87,304.0
"Wilkinson County, Mississippi",519,17,0,1479,0,28,157,637.0
"Jefferson Davis County, Mississippi",707,61,31,1700,52,28,65,20.0
"Scott County, Mississippi",2851,347,30,4481,165,28,123,68.0
"Yazoo County, Mississippi",1827,206,68,4555,20,28,163,849.0
"Bolivar County, Mississippi",1304,512,28,6403,51,28,11,53.0
"Pike County, Mississippi",3737,659,265,6489,50,28,113,345.0
"Stone County, Mississippi",1693,120,0,2565,111,28,131,639.0
"Kemper County, Mississippi",498,123,15,1565,5,28,69,324.0
"Sunflower County, Mississippi",1397,189,6,4677,80,28,133,85.0
"Adams County, Mississippi",1758,482,33,4300,36,28,1,173.0
"DeSoto County, Mississippi",30507,3431,294,13871,1086,28,33,336.0
"Delaware County, Pennsylvania",86411,10204,990,42223,354,42,45,2030.0
"Somerset County, Pennsylvania",7832,759,43,5815,117,42,111,2820.0
"Madison County, Missouri",1007,292,9,1418,152,29,123,958.0
"Vernon County, Missouri",2283,399,18,2038,84,29,217,230.0
"Nodaway County, Missouri",2163,845,15,1333,74,29,147,669.0
"Chariton County, Missouri",1000,179,8,552,20,29,41,309.0
"Wayne County, Missouri",801,168,28,1827,66,29,223,90.0
"Scott County, Missouri",4367,495,66,4803,283,29,201,158.0
"Barton County, Missouri",1399,259,11,1342,10,29,11,167.0
"Cedar County, Missouri",1076,113,29,2223,7,29,39,118.0
"Gasconade County, Missouri",2053,308,9,862,4,29,73,359.0
"Macon County, Missouri",1739,503,11,1400,28,29,121,59.0
"Oregon County, Missouri",367,78,39,1827,73,29,149,345.0
"Ste. Genevieve County, Missouri",2520,350,53,1198,34,29,186,288.0
"Douglas County, Missouri",938,79,35,1738,88,29,67,14.0
"Henry County, Missouri",1886,415,46,2283,160,29,83,141.0
"Lawrence County, Missouri",4412,592,187,4548,93,29,109,399.0
"Pulaski County, Missouri",3898,554,27,3009,5275,29,169,864.0
"Texas County, Missouri",1860,299,96,2587,306,29,215,475.0
"Callaway County, Missouri",5893,720,80,3028,186,29,27,853.0
"Cooper County, Missouri",2339,235,8,1128,38,29,53,716.0
"Gentry County, Missouri",771,144,4,679,55,29,75,392.0
"Washington County, Virginia",5489,848,73,4225,80,51,191,147.0
"Page County, Virginia",2463,402,27,1861,119,51,139,610.0
"Alexandria city, Virginia",16823,1644,108,8780,1788,51,510,345.0
"Hampton city, Virginia",14077,1612,264,11041,5204,51,650,1999.0
"Arlington County, Virginia",33115,6824,1278,5180,2359,51,13,1024.0
"Buchanan County, Virginia",1481,156,342,1980,10,51,27,1242.0
"Stafford County, Virginia",24736,2517,35,6590,7835,51,179,253.0
"Richmond city, Virginia",15940,3123,693,23271,275,51,760,2050.0
"Essex County, Virginia",732,133,0,1384,0,51,57,2871.0
"Tazewell County, Virginia",3936,328,166,4023,242,51,185,23.0
"Manassas Park city, Virginia",2384,215,142,1539,41,51,685,521.0
"Sussex County, Virginia",946,154,10,764,43,51,183,383.0
"Manassas city, Virginia",5617,931,131,4642,439,51,683,85.0
"Salem city, Virginia",3420,286,0,1473,278,51,775,1166.0
"Charlotte County, Virginia",1050,187,6,1497,7,51,37,142.0
"Greensville County, Virginia",785,57,0,1018,24,51,81,155.0
"Thurston County, Washington",33192,4567,193,20023,9993,53,67,129.0
"Columbia County, Washington",421,84,0,322,0,53,13,1408.0
"Guayanilla Municipio, Puerto Rico",1142,88,32,3030,0,72,59,13.0
"Sabana Grande Municipio, Puerto Rico",1239,878,102,2723,25,72,121,97.0
"Hormigueros Municipio, Puerto Rico",843,316,5,2015,55,72,67,100.0
"Utuado Municipio, Puerto Rico",1166,602,24,4167,9,72,141,31.0
"Florida Municipio, Puerto Rico",286,560,0,1882,0,72,54,231.0
"Moca Municipio, Puerto Rico",1695,701,26,5538,0,72,99,26.0
"Salinas Municipio, Puerto Rico",1624,231,0,4955,8,72,123,175.0
"Mississippi County, Missouri",992,187,2,1723,0,29,133,141.0
"Ozark County, Missouri",511,32,59,1198,13,29,153,137.0
"Bollinger County, Missouri",1519,246,0,1161,54,29,17,113.0
"Sumner County, Tennessee",26872,3668,90,14577,876,47,165,83.0
"Trousdale County, Tennessee",993,230,57,834,0,47,169,2023.0
"Clay County, Tennessee",609,135,17,867,11,47,27,23.0
"Moultrie County, Illinois",2092,246,6,904,25,17,139,84.0
"Pike County, Illinois",1980,154,17,1667,49,17,149,832.0
"Pope County, Illinois",348,94,0,274,0,17,151,110.0
"St. Clair County, Illinois",31611,3830,478,24672,7489,17,163,0.0
"Shelby County, Illinois",3055,277,3,1651,30,17,173,2128.0
"Champaign County, Illinois",28961,4487,512,13732,546,17,19,38.0
"Calhoun County, Illinois",809,53,0,264,0,17,13,709.0
"Ford County, Illinois",1332,330,0,1651,7,17,53,4.0
"Kane County, Illinois",82605,8387,364,52573,1440,17,89,108.0
"Kendall County, Illinois",29047,2395,78,6976,555,17,93,4976.0
"Brown County, Illinois",757,58,0,436,24,17,9,1276.0
"Marion County, Illinois",3807,277,8,5308,75,17,121,58.0
"Mason County, Illinois",1198,169,0,1832,4,17,125,279.0
"Iroquois County, Illinois",3334,442,0,2599,57,17,75,33.0
"Clay County, Illinois",1490,266,0,1554,77,17,25,265.0
"Gallatin County, Illinois",423,88,7,650,3,17,59,117.0
"Monroe County, Illinois",6584,569,0,1023,137,17,133,8.0
"Union County, Illinois",1909,137,3,1687,23,17,181,143.0
"Winnebago County, Illinois",34418,3216,566,34040,447,17,201,164.0
"Pulaski County, Illinois",514,27,14,744,0,17,153,2012.0
"Schuyler County, Illinois",779,165,0,538,9,17,169,24.0
"Edgar County, Illinois",2162,206,5,1452,5,17,45,19.0
"Boone County, Illinois",9326,514,0,4993,55,17,7,174.0
"Bureau County, Illinois",4446,684,7,2754,86,17,11,399.0
"Coles County, Illinois",4402,782,57,5314,76,17,29,245.0
"Crawford County, Illinois",2240,195,0,1550,11,17,33,390.0
"Putnam County, Illinois",646,55,0,524,6,17,155,202.0
"De Witt County, Illinois",2188,119,14,1467,23,17,39,12.0
"Lee County, Illinois",4769,339,15,2436,50,17,103,22.0
"Macoupin County, Illinois",5557,688,36,4306,114,17,117,111.0
"Richland County, Illinois",1989,421,1,1794,43,17,159,176.0
"Washington County, Illinois",1943,350,0,851,31,17,189,72.0
"Washington County, Oregon",95033,11398,306,39207,1281,41,67,38.0
"Clatsop County, Oregon",3727,957,38,3061,674,41,7,4481.0
"Cameron County, Pennsylvania",445,31,0,466,0,42,23,275.0
