NAME,pop,state,county
"Fayette County, Illinois",21565,17,051
"Logan County, Illinois",29003,17,107
"Saline County, Illinois",23994,17,165
"Lake County, Illinois",701473,17,097
"Massac County, Illinois",14219,17,127
"Cass County, Illinois",12493,17,017
"Huntington County, Indiana",36359,18,069
"White County, Indiana",24149,18,181
"Jay County, Indiana",20840,18,075
"Shelby County, Indiana",44438,18,145
"Sullivan County, Indiana",20730,18,153
"Tippecanoe County, Indiana",191553,18,157
"Hamilton County, Indiana",323117,18,057
"Bartholomew County, Indiana",82481,18,005
"Fulton County, Indiana",20096,18,049
"Noble County, Indiana",47506,18,113
"Clark County, Indiana",116507,18,019
"Hendricks County, Indiana",163799,18,063
"Grant County, Indiana",66452,18,053
"Jackson County, Indiana",44025,18,071
"Owen County, Indiana",20835,18,119
"Whitley County, Indiana",33730,18,183
"Clinton County, Indiana",32273,18,023
"Union County, Indiana",7113,18,161
"Dearborn County, Indiana",49479,18,029
"Lawrence County, Indiana",45548,18,093
"Perry County, Indiana",19102,18,123
"Posey County, Indiana",25560,18,129
"Carroll County, Indiana",20074,18,015
"Fountain County, Indiana",16430,18,045
"Starke County, Indiana",22952,18,149
"Greene County, Indiana",32159,18,055
"Benton County, Iowa",25636,19,011
"Dubuque County, Iowa",96982,19,061
"Pocahontas County, Iowa",6797,19,151
"Van Buren County, Iowa",7150,19,177
"Adams County, Iowa",3670,19,003
"Audubon County, Iowa",5571,19,009
"Davis County, Iowa",8920,19,051
"Ida County, Iowa",6901,19,093
"Monroe County, Iowa",7807,19,135
"Sioux County, Iowa",34827,19,167
"Calhoun County, Iowa",9744,19,025
"Cerro Gordo County, Iowa",42834,19,033
"Hardin County, Iowa",17061,19,083
"Lucas County, Iowa",8583,19,117
"Palo Alto County, Iowa",9003,19,147
"Henry County, Iowa",19941,19,087
"Jasper County, Iowa",36971,19,099
"Poweshiek County, Iowa",18388,19,157
"Clayton County, Iowa",17625,19,043
"Bremer County, Iowa",24864,19,017
"Emmet County, Iowa",9438,19,063
"Hancock County, Iowa",10802,19,081
"Jackson County, Iowa",19401,19,097
"Lee County, Iowa",34227,19,111
"Warren County, Iowa",50076,19,181
"Mahaska County, Iowa",22164,19,123
"Clay County, Iowa",16211,19,041
"Delaware County, Iowa",17183,19,055
"Bacon County, Georgia",11201,13,005
"Brantley County, Georgia",18756,13,025
"Ben Hill County, Georgia",17033,13,017
"Burke County, Georgia",22520,13,033
"Catoosa County, Georgia",66700,13,047
"Chattahoochee County, Georgia",10560,13,053
"Chattooga County, Georgia",24812,13,055
"Columbia County, Georgia",150705,13,073
"Decatur County, Georgia",26682,13,087
"Floyd County, Georgia",97369,13,115
"Forsyth County, Georgia",228383,13,117
"Habersham County, Georgia",44626,13,137
"Hart County, Georgia",25773,13,147
"Lowndes County, Georgia",115364,13,185
"McIntosh County, Georgia",14174,13,191
"Meriwether County, Georgia",21106,13,199
"Monroe County, Georgia",27171,13,207
"Putnam County, Georgia",21691,13,237
"Sumter County, Georgia",30064,13,261
"Taliaferro County, Georgia",1611,13,265
"Warren County, Georgia",5297,13,301
"Wayne County, Iowa",6429,19,185
"Scott County, Iowa",172446,19,163
"Sherman County, Kansas",5938,20,181
"Thomas County, Kansas",7810,20,193
"Morris County, Kansas",5566,20,127
"Rooks County, Kansas",5053,20,163
"Clark County, Kansas",2026,20,025
"Harper County, Kansas",5594,20,077
"Lyon County, Kansas",33251,20,111
"Pawnee County, Kansas",6629,20,145
"Comanche County, Kansas",1740,20,033
"Gove County, Kansas",2644,20,063
"Harvey County, Kansas",34503,20,079
"Kearny County, Kansas",3907,20,093
"McPherson County, Kansas",28567,20,113
"Desha County, Arkansas",11709,05,041
"Fulton County, Arkansas",12231,05,049
"Howard County, Arkansas",13311,05,061
"Garland County, Arkansas",98555,05,051
"Mississippi County, Arkansas",42126,05,093
"Pope County, Arkansas",63761,05,115
"Prairie County, Arkansas",8189,05,117
"Union County, Arkansas",39449,05,139
"Woodruff County, Arkansas",6533,05,147
"Cleburne County, Arkansas",25100,05,023
"Cleveland County, Arkansas",8128,05,025
"Jackson County, Arkansas",17027,05,067
"Hempstead County, Arkansas",21842,05,057
"Sharp County, Arkansas",17139,05,135
"Stone County, Arkansas",12475,05,137
"Washington County, Arkansas",232289,05,143
"Baxter County, Arkansas",41427,05,005
"Ashley County, Arkansas",20270,05,003
"Craighead County, Arkansas",107345,05,031
"Greene County, Arkansas",44937,05,055
"Perry County, Arkansas",10355,05,105
"Poinsett County, Arkansas",23896,05,111
"Sevier County, Arkansas",17081,05,133
"Calhoun County, Arkansas",5192,05,013
"Clark County, Arkansas",22386,05,019
"Lawrence County, Arkansas",16549,05,075
"Monroe County, Arkansas",7050,05,095
"Conway County, Arkansas",20858,05,029
"Newton County, Arkansas",7812,05,101
"Arkansas County, Arkansas",17914,05,001
"Lonoke County, Arkansas",72528,05,085
"Carroll County, Arkansas",27965,05,015
"St. Francis County, Arkansas",25900,05,123
"Pulaski County, Arkansas",392967,05,119
"Merced County, California",271382,06,047
"Mariposa County, California",17420,06,043
"Modoc County, California",8907,06,049
"Contra Costa County, California",1142251,06,013
"Inyo County, California",17977,06,027
"Stanislaus County, California",543194,06,099
"Santa Barbara County, California",444829,06,083
"Tehama County, California",63912,06,103
"Mono County, California",14310,06,051
"San Benito County, California",60376,06,069
"Bryan County, Georgia",37063,13,029
"Butts County, Georgia",24090,13,035
"Camden County, Georgia",53231,13,039
"Crawford County, Georgia",12325,13,079
"Early County, Georgia",10312,13,099
