NAME,<15,15-24,25-34,35-64,65-74,>75
"Fayette County, Illinois",3650,2612,2696,8549,2198,1860
"Logan County, Illinois",4560,4070,3844,11305,2759,2465
"Saline County, Illinois",4258,2623,3028,9300,2641,2144
"Lake County, Illinois",138820,104977,77894,283443,57332,39007
"Massac County, Illinois",2688,1510,1471,5588,1557,1405
"Cass County, Illinois",2527,1463,1563,4784,1165,991
"Huntington County, Indiana",6474,4866,4407,14484,3418,2710
"White County, Indiana",4697,2827,2626,9288,2718,1993
"Jay County, Indiana",4343,2752,2277,7853,2067,1548
"Shelby County, Indiana",8368,5186,5445,18039,4257,3143
"Sullivan County, Indiana",3350,2466,2768,8569,2103,1474
"Tippecanoe County, Indiana",33050,52677,27201,57303,12477,8845
"Hamilton County, Indiana",72918,40216,38493,133128,23515,14847
"Bartholomew County, Indiana",16496,9999,11721,31031,7665,5569
"Fulton County, Indiana",3930,2324,2264,7779,2144,1655
"Noble County, Indiana",9898,6088,5665,18622,4445,2788
"Clark County, Indiana",22033,13733,16029,46763,11139,6810
"Hendricks County, Indiana",33886,20992,20427,66666,13216,8612
"Grant County, Indiana",11415,10980,7116,24535,6846,5560
"Jackson County, Indiana",8914,5139,5605,17389,4011,2967
"Owen County, Indiana",3570,2306,2219,8790,2479,1471
"Whitley County, Indiana",6443,3915,3864,13565,3476,2467
"Clinton County, Indiana",7025,4090,3865,12079,2795,2419
"Union County, Indiana",1243,832,796,2903,809,530
"Dearborn County, Indiana",9116,6094,5459,20389,5036,3385
"Lawrence County, Indiana",8174,5211,5096,18061,5209,3797
"Perry County, Indiana",3416,2071,2520,7627,2010,1458
"Posey County, Indiana",4599,3028,2864,10415,2740,1914
"Carroll County, Indiana",3591,2472,2128,8039,2250,1594
"Fountain County, Indiana",2948,1965,1798,6514,1764,1441
"Starke County, Indiana",4386,2769,2593,9115,2476,1613
"Greene County, Indiana",5708,3687,3645,12918,3506,2695
"Benton County, Iowa",4929,2956,2630,10490,2471,2160
"Dubuque County, Iowa",18358,13770,12231,35845,8982,7796
"Pocahontas County, Iowa",1195,725,635,2698,771,773
"Van Buren County, Iowa",1352,780,665,2771,891,691
"Adams County, Iowa",647,361,401,1425,445,391
"Audubon County, Iowa",957,584,519,2157,651,703
"Davis County, Iowa",2204,1124,951,3086,818,737
"Ida County, Iowa",1355,753,691,2591,760,751
"Monroe County, Iowa",1508,928,799,3039,848,685
"Sioux County, Iowa",7885,6217,3915,11509,2625,2676
"Calhoun County, Iowa",1720,1027,1074,3701,1092,1130
"Cerro Gordo County, Iowa",7311,4955,5077,16448,4806,4237
"Hardin County, Iowa",2745,2161,1853,6668,1784,1850
"Lucas County, Iowa",1616,1011,813,3307,964,872
"Palo Alto County, Iowa",1807,1051,964,3243,943,995
"Henry County, Iowa",3588,2696,2503,7478,2052,1624
"Jasper County, Iowa",6866,4078,4497,14541,3750,3239
"Poweshiek County, Iowa",2956,3399,1869,6449,1938,1777
"Clayton County, Iowa",3114,1802,1759,6905,2160,1885
"Bremer County, Iowa",4536,3900,2609,8953,2596,2270
"Emmet County, Iowa",1579,1383,878,3661,994,943
"Hancock County, Iowa",1944,1176,1146,4178,1226,1132
"Jackson County, Iowa",3532,2230,1903,7779,2169,1788
"Lee County, Iowa",6166,3816,3911,13529,4064,2741
"Warren County, Iowa",10199,6976,5602,19518,4536,3245
"Mahaska County, Iowa",4444,2776,2653,8286,2168,1837
"Clay County, Iowa",3061,1778,1776,6267,1716,1613
"Delaware County, Iowa",3393,1998,1627,6889,1740,1536
"Bacon County, Georgia",2395,1452,1475,4158,1038,683
"Brantley County, Georgia",3644,2344,2165,7595,1897,1111
"Ben Hill County, Georgia",3515,2357,1708,6603,1711,1139
"Burke County, Georgia",4890,2902,2760,8584,2125,1259
"Catoosa County, Georgia",12441,8300,8073,26401,6822,4663
"Chattahoochee County, Georgia",2073,3365,2526,2258,192,146
"Chattooga County, Georgia",4665,3040,3080,9732,2495,1800
"Columbia County, Georgia",31610,19047,20869,59295,12368,7516
"Decatur County, Georgia",5411,3527,3395,10082,2428,1839
"Floyd County, Georgia",18730,13823,12354,36402,9224,6836
"Forsyth County, Georgia",51888,28426,22230,99170,16604,10065
"Habersham County, Georgia",8234,6108,5239,16800,4833,3412
"Hart County, Georgia",4497,2635,3108,9905,3209,2419
"Lowndes County, Georgia",23491,23764,17542,36864,8157,5546
