NAME,nonhispain,hispain,state,county
"Fayette County, Illinois",21162,403,17,051
"Logan County, Illinois",28018,985,17,107
"Saline County, Illinois",23566,428,17,165
"Lake County, Illinois",549332,152141,17,097
"Massac County, Illinois",13800,419,17,127
"Cass County, Illinois",10131,2362,17,017
"Huntington County, Indiana",35465,894,18,069
"White County, Indiana",22128,2021,18,181
"Jay County, Indiana",20193,647,18,075
"Shelby County, Indiana",42565,1873,18,145
"Sullivan County, Indiana",20370,360,18,153
"Tippecanoe County, Indiana",175605,15948,18,157
"Hamilton County, Indiana",310189,12928,18,057
"Bartholomew County, Indiana",76909,5572,18,005
"Fulton County, Indiana",19051,1045,18,049
"Noble County, Indiana",42618,4888,18,113
"Clark County, Indiana",110243,6264,18,019
"Hendricks County, Indiana",157405,6394,18,063
"Grant County, Indiana",63606,2846,18,053
"Jackson County, Indiana",40939,3086,18,071
"Owen County, Indiana",20573,262,18,119
"Whitley County, Indiana",33036,694,18,183
"Clinton County, Indiana",27155,5118,18,023
"Union County, Indiana",6987,126,18,161
"Dearborn County, Indiana",48833,646,18,029
"Lawrence County, Indiana",44787,761,18,093
"Perry County, Indiana",18836,266,18,123
"Posey County, Indiana",25255,305,18,129
"Carroll County, Indiana",19260,814,18,015
"Fountain County, Indiana",16016,414,18,045
"Starke County, Indiana",22083,869,18,149
"Greene County, Indiana",31691,468,18,055
"Benton County, Iowa",25250,386,19,011
"Dubuque County, Iowa",94587,2395,19,061
"Pocahontas County, Iowa",6537,260,19,151
"Van Buren County, Iowa",7037,113,19,177
"Adams County, Iowa",3621,49,19,003
"Audubon County, Iowa",5539,32,19,009
"Davis County, Iowa",8789,131,19,051
"Ida County, Iowa",6732,169,19,093
"Monroe County, Iowa",7730,77,19,135
"Sioux County, Iowa",31084,3743,19,167
"Calhoun County, Iowa",9554,190,19,025
"Cerro Gordo County, Iowa",40748,2086,19,033
"Hardin County, Iowa",16318,743,19,083
"Lucas County, Iowa",8411,172,19,117
"Palo Alto County, Iowa",8750,253,19,147
"Henry County, Iowa",18967,974,19,087
"Jasper County, Iowa",36104,867,19,099
"Poweshiek County, Iowa",17799,589,19,157
"Clayton County, Iowa",17286,339,19,043
"Bremer County, Iowa",24472,392,19,017
"Emmet County, Iowa",8518,920,19,063
"Hancock County, Iowa",10326,476,19,081
"Jackson County, Iowa",19116,285,19,097
"Lee County, Iowa",32990,1237,19,111
"Warren County, Iowa",48653,1423,19,181
"Mahaska County, Iowa",21668,496,19,123
"Clay County, Iowa",15613,598,19,041
"Delaware County, Iowa",16916,267,19,055
"Bacon County, Georgia",10276,925,13,005
"Brantley County, Georgia",18337,419,13,025
"Ben Hill County, Georgia",15992,1041,13,017
"Burke County, Georgia",21792,728,13,033
"Catoosa County, Georgia",64688,2012,13,047
"Chattahoochee County, Georgia",8885,1675,13,053
"Chattooga County, Georgia",23534,1278,13,055
"Columbia County, Georgia",140611,10094,13,073
"Decatur County, Georgia",25059,1623,13,087
"Floyd County, Georgia",86593,10776,13,115
"Forsyth County, Georgia",206697,21686,13,117
"Habersham County, Georgia",38027,6599,13,137
"Hart County, Georgia",24833,940,13,147
"Lowndes County, Georgia",108829,6535,13,185
"McIntosh County, Georgia",14134,40,13,191
"Meriwether County, Georgia",20642,464,13,199
"Monroe County, Georgia",26540,631,13,207
"Putnam County, Georgia",20313,1378,13,237
"Sumter County, Georgia",28353,1711,13,261
"Taliaferro County, Georgia",1547,64,13,265
"Warren County, Georgia",5272,25,13,301
"Wayne County, Iowa",6327,102,19,185
"Scott County, Iowa",160856,11590,19,163
"Sherman County, Kansas",5216,722,20,181
"Thomas County, Kansas",7300,510,20,193
"Morris County, Kansas",5287,279,20,127
"Rooks County, Kansas",4926,127,20,163
"Clark County, Kansas",1914,112,20,025
"Harper County, Kansas",5251,343,20,077
"Lyon County, Kansas",26192,7059,20,111
"Pawnee County, Kansas",6118,511,20,145
"Comanche County, Kansas",1674,66,20,033
"Gove County, Kansas",2554,90,20,063
"Harvey County, Kansas",30402,4101,20,079
"Kearny County, Kansas",2668,1239,20,093
"McPherson County, Kansas",27362,1205,20,113
"Desha County, Arkansas",10991,718,05,041
"Fulton County, Arkansas",12035,196,05,049
"Howard County, Arkansas",11642,1669,05,061
"Garland County, Arkansas",93002,5553,05,051
"Mississippi County, Arkansas",40386,1740,05,093
