NAME,white,black,amindia,asia,pacific,other,2m,state,county
"Fayette County, Illinois",20245,1007,68,116,28,13,88,17,051
"Logan County, Illinois",25667,2003,73,218,10,230,802,17,107
"Saline County, Illinois",22234,632,53,178,54,122,721,17,165
"Lake County, Illinois",531609,47385,2162,54157,285,45309,20566,17,097
"Massac County, Illinois",12956,830,6,29,0,0,398,17,127
"Cass County, Illinois",11058,652,22,45,1,581,134,17,017
"Huntington County, Indiana",34850,357,157,263,28,420,284,18,069
"White County, Indiana",21955,123,84,55,10,1518,404,18,181
"Jay County, Indiana",20212,76,29,157,1,162,203,18,075
"Shelby County, Indiana",42110,519,38,250,11,796,714,18,145
"Sullivan County, Indiana",19254,830,19,106,9,77,435,18,153
"Tippecanoe County, Indiana",156081,10168,561,15564,66,4561,4552,18,157
"Hamilton County, Indiana",280363,12764,619,19336,69,2054,7912,18,057
"Bartholomew County, Indiana",70299,1549,179,6104,42,2173,2135,18,005
"Fulton County, Indiana",18864,186,63,90,11,565,317,18,049
"Noble County, Indiana",45774,228,63,314,10,245,872,18,113
"Clark County, Indiana",102002,7854,215,1263,13,1064,4096,18,019
"Hendricks County, Indiana",142553,11507,293,4773,26,1565,3082,18,063
"Grant County, Indiana",58360,4811,124,653,0,550,1954,18,053
"Jackson County, Indiana",40013,473,97,983,14,1765,680,18,071
"Owen County, Indiana",20191,98,80,103,0,0,363,18,119
"Whitley County, Indiana",32666,137,117,145,0,35,630,18,183
"Clinton County, Indiana",29558,268,58,113,53,1967,256,18,023
"Union County, Indiana",6898,15,0,145,0,4,51,18,161
"Dearborn County, Indiana",48102,431,50,279,14,137,466,18,029
"Lawrence County, Indiana",43954,180,253,223,27,167,744,18,093
"Perry County, Indiana",18091,577,41,97,0,70,226,18,123
"Posey County, Indiana",24599,458,19,84,0,106,294,18,129
"Carroll County, Indiana",19284,234,27,41,2,367,119,18,015
"Fountain County, Indiana",16023,37,28,72,0,22,248,18,045
"Starke County, Indiana",22303,198,14,60,0,156,221,18,149
"Greene County, Indiana",31405,127,13,64,17,48,485,18,055
"Benton County, Iowa",24852,143,41,85,0,179,336,19,011
"Dubuque County, Iowa",89785,3440,250,1050,509,477,1471,19,061
"Pocahontas County, Iowa",6527,40,21,91,48,31,39,19,151
"Van Buren County, Iowa",6960,48,0,37,0,24,81,19,177
"Adams County, Iowa",3620,2,4,9,0,27,8,19,003
"Audubon County, Iowa",5401,11,2,15,0,0,142,19,009
"Davis County, Iowa",8710,4,35,57,0,3,111,19,051
"Ida County, Iowa",6713,47,42,16,0,27,56,19,093
"Monroe County, Iowa",7591,2,0,8,0,179,27,19,135
"Sioux County, Iowa",32930,122,94,257,16,813,595,19,167
"Calhoun County, Iowa",9317,150,36,35,0,41,165,19,025
"Cerro Gordo County, Iowa",40288,747,215,491,51,249,793,19,033
"Hardin County, Iowa",16212,221,272,13,5,93,245,19,083
"Lucas County, Iowa",8505,8,2,0,0,34,34,19,117
"Palo Alto County, Iowa",8625,214,20,30,0,24,90,19,147
"Henry County, Iowa",18273,444,35,526,9,135,519,19,087
"Jasper County, Iowa",35232,738,76,172,0,115,638,19,099
"Poweshiek County, Iowa",17261,354,2,391,0,94,286,19,157
"Clayton County, Iowa",17173,170,33,79,0,56,114,19,043
"Bremer County, Iowa",23895,228,92,286,13,60,290,19,017
"Emmet County, Iowa",8929,199,16,24,0,112,158,19,063
"Hancock County, Iowa",10430,172,19,53,9,54,65,19,081
"Jackson County, Iowa",18781,92,2,79,179,19,249,19,097
"Lee County, Iowa",32054,946,83,213,6,181,744,19,111
"Warren County, Iowa",48092,260,61,348,173,347,795,19,181
"Mahaska County, Iowa",21112,312,57,342,50,1,290,19,123
"Clay County, Iowa",15446,112,7,105,2,141,398,19,041
"Delaware County, Iowa",16760,36,55,63,0,76,193,19,055
"Bacon County, Georgia",8956,1701,0,19,26,171,328,13,005
"Brantley County, Georgia",17610,661,54,201,0,1,229,13,025
"Ben Hill County, Georgia",10163,6236,0,117,0,346,171,13,017
"Burke County, Georgia",10988,10824,0,75,0,365,268,13,033
"Catoosa County, Georgia",61587,1497,240,878,32,943,1523,13,047
"Chattahoochee County, Georgia",7136,2270,35,382,15,341,381,13,053
"Chattooga County, Georgia",21271,2593,35,42,0,530,341,13,055
"Columbia County, Georgia",111355,25127,421,5846,0,1635,6321,13,073
"Decatur County, Georgia",14002,11225,30,66,0,1255,104,13,087
"Floyd County, Georgia",76218,13576,167,1343,0,3248,2817,13,115
"Forsyth County, Georgia",180891,8013,687,29535,96,3900,5261,13,117
"Habersham County, Georgia",38434,1435,46,864,219,2548,1080,13,137
"Hart County, Georgia",19950,4998,6,255,0,150,414,13,147
"Lowndes County, Georgia",65740,42096,441,2011,172,2180,2724,13,185
"McIntosh County, Georgia",8826,5036,14,189,18,0,91,13,191
"Meriwether County, Georgia",12102,8426,20,52,0,307,199,13,199
"Monroe County, Georgia",20035,6304,41,247,0,279,265,13,207
"Putnam County, Georgia",14970,5689,7,133,0,620,272,13,237
"Sumter County, Georgia",12836,15712,6,410,0,601,499,13,261
"Taliaferro County, Georgia",547,1000,0,12,0,48,4,13,265
"Warren County, Georgia",1986,3237,0,32,0,4,38,13,301
"Wayne County, Iowa",6250,19,24,6,0,29,101,19,185
"Scott County, Iowa",147646,12954,543,4698,39,1290,5276,19,163
"Sherman County, Kansas",5392,114,49,55,0,224,104,20,181
"Thomas County, Kansas",7328,177,28,72,0,120,85,20,193
"Morris County, Kansas",5347,11,6,33,0,12,157,20,127
"Rooks County, Kansas",4860,89,12,4,11,14,63,20,163
"Clark County, Kansas",1917,10,21,23,0,10,45,20,025
"Harper County, Kansas",5356,10,84,22,11,14,97,20,077
"Lyon County, Kansas",29661,763,244,710,0,466,1407,20,111
"Pawnee County, Kansas",5941,308,64,4,0,124,188,20,145
"Comanche County, Kansas",1725,4,0,0,0,8,3,20,033
"Gove County, Kansas",2532,14,9,14,0,0,75,20,063
"Harvey County, Kansas",32126,574,113,218,62,349,1061,20,079
"Kearny County, Kansas",3694,101,0,15,0,71,26,20,093
"McPherson County, Kansas",27274,331,172,193,3,30,564,20,113
"Desha County, Arkansas",5710,5456,33,51,0,242,217,05,041
"Fulton County, Arkansas",11736,58,40,8,9,68,312,05,049
"Howard County, Arkansas",8967,2779,49,36,12,1174,294,05,061
"Garland County, Arkansas",84807,8092,890,588,0,1453,2725,05,051
"Mississippi County, Arkansas",25411,14212,31,238,33,850,1351,05,093
"Pope County, Arkansas",58162,1909,410,658,0,981,1641,05,115
"Prairie County, Arkansas",7020,1017,36,17,0,54,45,05,117
"Union County, Arkansas",25201,12887,347,258,0,308,448,05,139
"Woodruff County, Arkansas",4563,1839,0,59,0,0,72,05,147
"Cleburne County, Arkansas",24327,98,294,167,0,7,207,05,023
"Cleveland County, Arkansas",6970,1040,14,0,0,0,104,05,025
"Jackson County, Arkansas",13230,2091,26,8,6,59,1607,05,067
"Hempstead County, Arkansas",12523,6582,93,26,73,2081,464,05,057
"Sharp County, Arkansas",16284,143,58,14,0,53,587,05,135
"Stone County, Arkansas",12044,11,64,63,0,1,292,05,137
"Washington County, Arkansas",179292,8545,2052,5767,5274,23215,8144,05,143
"Baxter County, Arkansas",40058,67,176,180,18,235,693,05,005
"Ashley County, Arkansas",14682,5150,45,39,0,217,137,05,003
"Craighead County, Arkansas",84590,15614,482,1510,7,2284,2858,05,031
"Greene County, Arkansas",42557,864,125,164,15,422,790,05,055
"Perry County, Arkansas",9963,69,11,0,0,186,126,05,105
"Poinsett County, Arkansas",21113,1093,38,12,0,207,1433,05,111
"Sevier County, Arkansas",10744,827,394,76,81,4663,296,05,133
"Calhoun County, Arkansas",3957,1125,9,0,16,9,76,05,013
"Clark County, Arkansas",15720,5434,80,156,7,703,286,05,019
"Lawrence County, Arkansas",15992,186,44,25,2,17,283,05,075
"Monroe County, Arkansas",3847,3030,21,30,0,11,111,05,095
"Conway County, Arkansas",17760,2167,53,69,0,39,770,05,029
"Newton County, Arkansas",7356,2,196,51,60,0,147,05,101
"Arkansas County, Arkansas",12921,4636,30,8,0,89,230,05,001
"Lonoke County, Arkansas",64339,4110,518,653,193,967,1748,05,085
"Carroll County, Arkansas",25765,289,233,387,257,460,574,05,015
"St. Francis County, Arkansas",10630,13845,97,160,37,653,478,05,123
"Pulaski County, Arkansas",219763,144802,1171,8801,209,7421,10800,05,119
"Merced County, California",149434,8645,2501,20349,654,78735,11064,06,047
"Mariposa County, California",15402,253,332,210,53,415,755,06,043
"Modoc County, California",7976,136,372,99,9,111,204,06,049
"Contra Costa County, California",637904,99642,5506,190983,5631,124629,77956,06,013
"Inyo County, California",14170,153,2028,350,34,392,850,06,027
"Stanislaus County, California",415911,16547,4418,30007,3961,49786,22564,06,099
"Santa Barbara County, California",344778,8984,4644,24849,581,42441,18552,06,083
"Tehama County, California",54795,530,1255,967,28,3470,2867,06,103
"Mono County, California",11921,111,497,367,0,882,532,06,051
"San Benito County, California",49245,491,443,1804,57,5138,3198,06,069
"Bryan County, Georgia",28542,5340,161,529,28,887,1576,13,029
"Butts County, Georgia",16393,6992,1,101,0,270,333,13,035
"Camden County, Georgia",38864,9997,374,1170,59,916,1851,13,039
"Crawford County, Georgia",9236,2708,12,19,0,201,149,13,079
"Early County, Georgia",4670,5409,30,57,0,4,142,13,099
"Coffee County, Georgia",29175,12261,16,338,0,615,616,13,069
"Coweta County, Georgia",109508,25618,361,2980,26,1666,3101,13,077
"Gilmer County, Georgia",27832,166,523,137,3,1182,571,13,123
"Walton County, Georgia",70869,16177,121,1255,25,1493,1502,13,297
"Wilkes County, Georgia",5182,4193,0,38,0,341,90,13,317
"Dodge County, Georgia",14001,5987,2,69,0,310,460,13,091
"Gordon County, Georgia",50276,2169,725,637,87,2220,1088,13,129
"Cherokee County, Georgia",213668,17274,1055,4472,123,4931,5992,13,057
"Fayette County, Georgia",75117,25506,200,5037,189,2557,3697,13,113
"Lee County, Georgia",21662,6121,30,723,35,164,767,13,177
"Pickens County, Georgia",27993,324,297,134,16,26,2597,13,227
"Greene County, Georgia",10246,6101,0,198,4,661,139,13,133
"Cook County, Georgia",11796,4631,50,124,0,241,335,13,075
"Dawson County, Georgia",23628,258,23,144,0,97,386,13,085
"Fulton County, Georgia",462133,456855,4213,73129,316,15345,24209,13,121
"Hawaii County, Hawaii",66493,1266,977,44971,24338,3799,57615,15,001
"Honolulu County, Hawaii",206218,23603,1900,420093,93980,10332,228695,15,003
"Kauai County, Hawaii",23229,309,408,23698,6568,437,17120,15,007
"Kalawao County, Hawaii",16,2,1,14,18,0,15,15,005
"Cassia County, Idaho",22067,52,277,139,14,819,322,16,031
