NAME,poverty,state,county
"Fayette County, Illinois",3421,17,051
"Logan County, Illinois",2323,17,107
"Saline County, Illinois",4936,17,165
"Lake County, Illinois",54273,17,097
"Massac County, Illinois",2331,17,127
"Cass County, Illinois",1822,17,017
"Huntington County, Indiana",3809,18,069
"White County, Indiana",2198,18,181
"Jay County, Indiana",2887,18,075
"Shelby County, Indiana",4903,18,145
"Sullivan County, Indiana",2209,18,153
"Tippecanoe County, Indiana",32662,18,157
"Hamilton County, Indiana",14700,18,057
"Bartholomew County, Indiana",10859,18,005
"Fulton County, Indiana",2442,18,049
"Noble County, Indiana",3453,18,113
"Clark County, Indiana",11544,18,019
"Hendricks County, Indiana",8021,18,063
"Grant County, Indiana",10953,18,053
"Jackson County, Indiana",6268,18,071
"Owen County, Indiana",3154,18,119
"Whitley County, Indiana",3213,18,183
"Clinton County, Indiana",3916,18,023
"Union County, Indiana",513,18,161
"Dearborn County, Indiana",4446,18,029
"Lawrence County, Indiana",5549,18,093
"Perry County, Indiana",2067,18,123
"Posey County, Indiana",2255,18,129
"Carroll County, Indiana",1912,18,015
"Fountain County, Indiana",1802,18,045
"Starke County, Indiana",3385,18,149
"Greene County, Indiana",4527,18,055
"Benton County, Iowa",2216,19,011
"Dubuque County, Iowa",10646,19,061
"Pocahontas County, Iowa",713,19,151
"Van Buren County, Iowa",906,19,177
"Adams County, Iowa",508,19,003
"Audubon County, Iowa",632,19,009
"Davis County, Iowa",868,19,051
"Ida County, Iowa",648,19,093
"Monroe County, Iowa",809,19,135
"Sioux County, Iowa",2047,19,167
"Calhoun County, Iowa",1133,19,025
"Cerro Gordo County, Iowa",4252,19,033
"Hardin County, Iowa",1564,19,083
"Lucas County, Iowa",991,19,117
"Palo Alto County, Iowa",554,19,147
"Henry County, Iowa",1972,19,087
"Jasper County, Iowa",3186,19,099
"Poweshiek County, Iowa",1654,19,157
"Clayton County, Iowa",1993,19,043
"Bremer County, Iowa",1725,19,017
"Emmet County, Iowa",1055,19,063
"Hancock County, Iowa",1063,19,081
"Jackson County, Iowa",2500,19,097
"Lee County, Iowa",4658,19,111
"Warren County, Iowa",3933,19,181
"Mahaska County, Iowa",2949,19,123
"Clay County, Iowa",1723,19,041
"Delaware County, Iowa",1559,19,055
"Bacon County, Georgia",2486,13,005
"Brantley County, Georgia",3654,13,025
"Ben Hill County, Georgia",4925,13,017
