date,fips,mmwr_week,recip_county,recip_state,completeness_pct,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_5plus,administered_dose1_recip_5pluspop_pct,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,series_complete_yes,series_complete_pop_pct,series_complete_5plus,series_complete_5pluspop_pct,series_complete_5to17,series_complete_5to17pop_pct,series_complete_12plus,series_complete_12pluspop_pct,series_complete_18plus,series_complete_18pluspop_pct,series_complete_65plus,series_complete_65pluspop_pct,booster_doses,booster_doses_vax_pct,booster_doses_12plus,booster_doses_12plus_vax_pct,booster_doses_18plus,booster_doses_18plus_vax_pct,booster_doses_50plus,booster_doses_50plus_vax_pct,booster_doses_65plus,booster_doses_65plus_vax_pct,svi_ctgy,series_complete_pop_pct_svi,series_complete_5pluspop_pct_svi,series_complete_5to17pop_pct_svi,series_complete_12pluspop_pct_svi,series_complete_18pluspop_pct_svi,series_complete_65pluspop_pct_svi,metro_status,series_complete_pop_pct_ur_equity,series_complete_5pluspop_pct_ur_equity,series_complete_5to17pop_pct_ur_equity,series_complete_12pluspop_pct_ur_equity,series_complete_18pluspop_pct_ur_equity,series_complete_65pluspop_pct_ur_equity,booster_doses_vax_pct_svi,booster_doses_12plusvax_pct_svi,booster_doses_18plusvax_pct_svi,booster_doses_65plusvax_pct_svi,booster_doses_vax_pct_ur_equity,booster_doses_12plusvax_pct_ur_equity,booster_doses_18plusvax_pct_ur_equity,booster_doses_65plusvax_pct_ur_equity,census2019,census2019_5pluspop,census2019_5to17pop,census2019_12pluspop,census2019_18pluspop,census2019_65pluspop
2022-04-18T00:00:00.000,05031,16,Craighead County,AR,90.5,59307.0,53.8,59280.0,57.8,57078.0,62.2,52729.0,63.7,12420.0,80.5,50032.0,45.3,50026.0,48.8,5350.0,27.0,48408.0,52.7,44676.0,54.0,11083.0,71.9,19641.0,39.3,19638.0,40.6,19129.0,42.8,12813.0,58.2,7692.0,69.4,D,13.0,13.0,13.0,14.0,14.0,15.0,Metro,1.0,1.0,1.0,2.0,2.0,3.0,14.0,15.0,15.0,15.0,2.0,3.0,3.0,3.0,110332.0,102572.0,19816.0,91830.0,82756.0,15424.0
2022-04-18T00:00:00.000,06061,16,Placer County,CA,97.6,289761.0,72.7,289546.0,76.8,276552.0,80.7,255559.0,82.3,77696.0,95.0,268870.0,67.5,268723.0,71.2,31777.0,47.5,256825.0,75.0,236946.0,76.3,72220.0,91.0,149799.0,55.7,149776.0,58.3,143587.0,60.6,93220.0,69.0,54425.0,75.4,A,3.0,3.0,3.0,3.0,3.0,4.0,Metro,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,398329.0,377237.0,66855.0,342501.0,310382.0,79390.0
2022-04-18T00:00:00.000,08011,16,Bent County,CO,97.1,1556.0,27.9,1556.0,28.9,1534.0,30.5,1440.0,30.5,446.0,42.4,1494.0,26.8,1494.0,27.8,116.0,17.5,1474.0,29.4,1378.0,29.2,430.0,40.8,837.0,56.0,837.0,56.8,828.0,60.1,641.0,74.2,390.0,90.7,D,13.0,13.0,13.0,13.0,13.0,13.0,Non-metro,5.0,5.0,5.0,5.0,5.0,5.0,16.0,16.0,16.0,16.0,8.0,8.0,8.0,8.0,5577.0,5377.0,661.0,5022.0,4716.0,1053.0
2022-04-18T00:00:00.000,08089,16,Otero County,CO,97.1,9636.0,52.7,9634.0,56.0,9366.0,60.3,8886.0,63.9,3027.0,80.1,8989.0,49.2,8989.0,52.3,640.0,19.5,8775.0,56.5,8349.0,60.0,2972.0,78.6,4528.0,50.4,4527.0,51.6,4460.0,53.4,3412.0,66.2,2140.0,72.0,D,13.0,14.0,13.0,14.0,14.0,15.0,Non-metro,5.0,6.0,5.0,6.0,6.0,7.0,16.0,16.0,16.0,15.0,8.0,8.0,8.0,7.0,18278.0,17196.0,3287.0,15521.0,13909.0,3780.0
2022-04-18T00:00:00.000,12049,16,Hardee County,FL,98.7,13287.0,49.3,13283.0,52.9,13094.0,58.4,12386.0,61.7,3763.0,80.1,11522.0,42.8,11522.0,45.9,775.0,15.4,11370.0,50.7,10747.0,53.5,3454.0,73.6,3279.0,28.5,3277.0,28.8,3203.0,29.8,2494.0,40.4,1647.0,47.7,D,13.0,13.0,13.0,14.0,14.0,15.0,Non-metro,5.0,5.0,5.0,6.0,6.0,7.0,13.0,13.0,13.0,13.0,5.0,5.0,5.0,5.0,26937.0,25124.0,5045.0,22414.0,20079.0,4695.0
2022-04-18T00:00:00.000,12131,16,Walton County,FL,98.7,43558.0,58.8,43548.0,62.3,42885.0,67.1,41212.0,69.9,14549.0,95.0,36382.0,49.1,36381.0,52.0,1842.0,16.8,35878.0,56.2,34539.0,58.6,12249.0,81.8,14204.0,39.0,14201.0,39.6,14020.0,40.6,11530.0,50.4,7216.0,58.9,C,9.0,10.0,9.0,10.0,10.0,12.0,Metro,1.0,2.0,1.0,2.0,2.0,4.0,10.0,10.0,11.0,10.0,2.0,2.0,3.0,2.0,74071.0,69930.0,10943.0,63887.0,58987.0,14977.0
2022-04-18T00:00:00.000,13039,16,Camden County,GA,89.5,35935.0,65.7,35929.0,70.7,35297.0,77.6,33180.0,80.0,7667.0,95.0,30868.0,56.5,30867.0,60.7,2145.0,23.0,30436.0,67.0,28722.0,69.2,6638.0,85.4,7441.0,24.1,7441.0,24.4,7318.0,25.5,5574.0,41.2,3380.0,50.9,C,10.0,10.0,9.0,11.0,11.0,12.0,Non-metro,6.0,6.0,5.0,7.0,7.0,8.0,9.0,9.0,9.0,10.0,5.0,5.0,5.0,6.0,54666.0,50826.0,9343.0,45457.0,41483.0,7776.0
2022-04-18T00:00:00.000,13167,16,Johnson County,GA,89.5,3904.0,40.5,3904.0,42.8,3861.0,45.5,3712.0,47.4,1210.0,67.6,3406.0,35.3,3406.0,37.3,155.0,12.0,3377.0,39.8,3251.0,41.5,1100.0,61.5,1210.0,35.5,1210.0,35.8,1202.0,37.0,954.0,46.2,585.0,53.2,D,13.0,13.0,13.0,13.0,13.0,14.0,Non-metro,5.0,5.0,5.0,5.0,5.0,6.0,14.0,14.0,14.0,14.0,6.0,6.0,6.0,6.0,9643.0,9121.0,1294.0,8485.0,7827.0,1790.0
2022-04-18T00:00:00.000,13309,16,Wheeler County,GA,89.5,2341.0,29.8,2340.0,31.2,2307.0,33.0,2165.0,33.2,738.0,63.7,2082.0,26.5,2082.0,27.7,144.0,14.7,2052.0,29.4,1938.0,29.7,703.0,60.7,724.0,34.8,724.0,35.3,718.0,37.0,552.0,46.2,376.0,53.5,D,13.0,13.0,13.0,13.0,13.0,14.0,Non-metro,5.0,5.0,5.0,5.0,5.0,6.0,14.0,14.0,14.0,14.0,6.0,6.0,6.0,6.0,7855.0,7505.0,981.0,6989.0,6524.0,1159.0
2022-04-18T00:00:00.000,19099,16,Jasper County,IA,97.4,23333.0,62.7,23330.0,66.5,22746.0,71.3,21422.0,74.0,6730.0,92.8,21759.0,58.5,21759.0,62.0,1750.0,28.6,21216.0,66.5,20009.0,69.1,6329.0,87.3,11887.0,54.6,11887.0,56.0,11670.0,58.3,8611.0,70.9,5081.0,80.3,B,6.0,6.0,5.0,7.0,7.0,8.0,Non-metro,6.0,6.0,5.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,37185.0,35081.0,6126.0,31893.0,28955.0,7249.0
