NAME,<15,15-24,25-34,35-64,65-74,>75
Alabama,904707,650666,637947,1878049,476681,328200
Alaska,155316,101166,119324,278679,56287,26296
Arizona,1356270,961497,964947,2560837,700520,506228
Arkansas,584314,403417,391817,1121044,290373,208405
California,7495217,5316737,5967864,15017638,3172271,2313770
Colorado,1048238,736532,871500,2180373,478345,295361
Delaware,168810,119118,127618,367528,104186,69988
District of Columbia,108246,90321,161872,248574,48154,35516
Connecticut,603133,488846,441742,1440300,336422,264631
Florida,3458362,2477529,2716853,8043464,2321394,1884034
Georgia,2071535,1444033,1440774,4041020,867295,539190
Idaho,365799,236395,224974,625693,160197,104692
Hawaii,257309,171780,204307,535092,143921,109685
Illinois,2385761,1698571,1770290,4973475,1113365,829169
Indiana,1299681,935529,866437,2540468,597215,426373
Iowa,606094,440629,395064,1172199,290141,235381
Kansas,591830,416543,382955,1069997,254325,195002
Kentucky,837410,592549,577567,1731388,424404,285734
Louisiana,920797,618412,669213,1757922,416721,281297
Maine,206266,155109,158195,548354,158281,109287
Maryland,1112933,766907,827944,2408386,530437,372241
Massachusetts,1122562,946308,973485,2701109,633197,473892
Michigan,1785493,1366292,1267775,3879362,975417,690926
Minnesota,1080209,716269,756337,2151865,490739,367959
Mississippi,590252,418496,387644,1127004,273673,187349
Missouri,1144562,810299,813407,2329917,577726,428999
Montana,190189,137165,133404,399180,114629,76082
Nebraska,396774,266771,255097,701860,165539,128530
Nevada,567452,360235,433665,1153849,283634,173547
New Hampshire,210770,177017,165193,559349,141456,94339
New Jersey,1615944,1116180,1138260,3597834,793910,616375
New Mexico,405017,284066,281603,769081,210124,142563
New York,3406006,2534376,2865950,7619681,1770421,1375885
North Carolina,1898751,1382266,1362577,3993269,976794,651219
North Dakota,149908,111741,115479,266706,61239,51644
Ohio,2147099,1532521,1521875,4512608,1116639,824655
Oklahoma,798872,541910,543411,1445283,350581,252813
Oregon,719920,510933,584228,1605167,430727,278828
Pennsylvania,2191803,1645495,1680907,4991605,1276690,1005030
Rhode Island,169882,150149,145217,414094,100027,77862
South Carolina,914006,659829,659234,1924179,530935,332623
South Dakota,180318,117927,114371,316488,80657,60877
Tennessee,1247251,874712,911745,2600524,643414,431710
Texas,6114402,4014900,4154182,10514845,2081849,1380678
Vermont,95124,88729,73033,250163,70829,46435
Utah,773177,499619,456750,1033353,200001,133948
Virginia,1549988,1127589,1174091,3330849,756712,515234
Washington,1372999,929484,1116817,2867134,679924,437749
West Virginia,304836,225042,214116,721197,208258,143856
Wisconsin,1056356,778655,731484,2270650,550150,403421
Wyoming,114475,76033,79874,219180,55440,36022
Puerto Rico,518338,454150,413196,1279027,362515,291221
