NAME,nonhispain,hispain,state
Alabama,4667624,208626,01
Alaska,685198,51870,02
Arizona,4841636,2208663,04
Arkansas,2775240,224130,05
California,23955809,15327688,06
Colorado,4402177,1208172,08
Delaware,868884,88364,10
District of Columbia,616492,76191,11
Connecticut,3000834,574240,09
Florida,15554952,5346684,12
Georgia,9411453,992394,13
Idaho,1502274,215476,16
Hawaii,1272976,149118,15
Illinois,10584244,2186387,17
Indiana,6203853,461850,18
Iowa,2951197,188311,19
Kansas,2564972,345680,20
Kentucky,4286058,162994,21
Louisiana,4425198,239164,22
Maine,1313392,22100,23
Maryland,5412366,606482,24
Massachusetts,6041374,809179,25
Michigan,9457912,507353,26
Minnesota,5263822,299556,27
Mississippi,2893216,91202,28
Missouri,5850119,254791,29
Montana,1010335,40314,30
Nebraska,1706300,208271,31
Nevada,2119341,853041,32
New Hampshire,1297631,50493,33
New Jersey,7083767,1794736,34
New Mexico,1071637,1020817,35
New York,15851336,3720983,36
North Carolina,9302211,962665,37
North Dakota,728400,28317,38
Ohio,11211982,443415,39
Oklahoma,3514964,417906,40
Oregon,3592586,537217,41
Pennsylvania,11856314,935216,42
Rhode Island,894005,163226,44
South Carolina,4735348,285458,45
South Dakota,837614,33024,46
Tennessee,6345182,364174,47
Texas,17143975,11116881,48
Vermont,612275,12038,50
Utah,2662016,434832,49
Virginia,7662462,792001,51
Washington,6466528,937579,53
West Virginia,1788937,28368,54
Wisconsin,5396324,394392,55
Wyoming,523683,57341,56
Puerto Rico,42528,3275919,72
