NAME,white,black,amindia,asia,pacific,other,2m,state
Alabama,3320247,1299048,25565,66270,2238,70662,92220,01
Alaska,476015,24205,109751,45920,9204,11308,60665,02
Arizona,5444453,317462,317414,233213,14458,460262,263037,04
Arkansas,2301044,459542,20434,45504,8733,83576,80537,05
California,23453222,2274108,303998,5692423,155290,5481792,1922664,06
Colorado,4712574,233647,54847,178147,8643,216767,205724,08
Delaware,658237,212302,3729,37009,542,18350,27079,10
District of Columbia,285857,320811,2091,27592,376,34511,21445,11
Connecticut,2714031,383416,9955,161257,1123,186292,119000,09
Florida,15702256,3359031,59320,571276,12653,625079,572021,12
Georgia,6098889,3289020,37440,414481,6233,291872,265912,13
Idaho,1545409,11918,23136,24287,2755,59676,50569,16
Hawaii,354847,26025,3710,537355,142997,17433,339727,15
Illinois,9134903,1813590,33460,698524,4477,757231,328446,17
Indiana,5553391,626587,15782,151979,2506,145747,169711,18
Iowa,2826070,116359,11976,75741,3729,39048,66585,19
Kansas,2455935,170291,24010,85794,2382,71683,100557,20
Kentucky,3868479,358928,9386,65191,3182,43601,100285,21
Louisiana,2892275,1502963,26361,80806,1406,65592,94959,22
Maine,1259522,18468,8660,15109,396,3541,29796,23
Maryland,3343003,1799094,16762,378126,3034,272137,206692,24
Massachusetts,5348538,522357,14764,452436,2804,286619,223035,25
Michigan,7813755,1374314,53316,311721,3099,117801,291259,26
Minnesota,4609049,356515,58011,268181,2194,104032,165396,27
Mississippi,1743217,1125623,14269,29605,680,30728,40296,28
Missouri,5015904,701334,27084,120654,8231,71335,160368,29
Montana,930204,5303,66839,8259,807,7076,32161,30
Nebraska,1666871,92406,17673,45655,1327,40253,50386,31
Nevada,1949707,271005,38026,242267,20022,304947,146408,32
New Hampshire,1252128,21546,2036,36180,443,7510,28281,33
New Jersey,6018074,1194882,19711,840168,3458,558665,243545,34
New Mexico,1565366,44120,199845,32577,1644,180638,68264,35
New York,12459687,3065471,79512,1647606,8821,1694965,616257,36
North Carolina,7049919,2200761,123952,292992,7213,316763,273276,37
North Dakota,655136,21985,40006,11006,863,8109,19612,38
Ohio,9476047,1446193,22816,258199,3880,112836,335426,39
Oklahoma,2844070,286356,299621,85239,6260,106709,304615,40
Oregon,3480920,78679,48060,180580,16625,126587,198352,41
Pennsylvania,10300602,1430664,24691,436324,4198,275177,319874,42
Rhode Island,850597,71561,5277,35958,810,57807,35221,44
South Carolina,3372011,1344139,17645,78805,4002,88274,115930,45
South Dakota,733719,17531,76190,12627,504,7230,22837,46
Tennessee,5205132,1124473,18189,117600,3771,92655,147536,47
Texas,20903375,3428211,141425,1357273,25292,1643869,761411,48
Vermont,587883,8502,2132,10461,325,2410,12600,50
Utah,2676482,36849,33721,71977,27554,156229,94036,49
Virginia,5717617,1621592,23873,541133,6179,223794,320275,51
Washington,5581128,281683,94449,631333,49090,333038,433386,53
West Virginia,1691600,66990,3667,14523,419,7971,32135,54
Wisconsin,4946961,371200,51392,161841,2400,118350,138572,55
Wyoming,531304,5582,14164,5025,596,8832,15521,56
Puerto Rico,2188014,386676,6838,6237,269,554764,175649,72
