NAME,Employee,Direct,Medicare,Medicaid,VA,state,county,noins
"Fayette County, Illinois",1015,1425,3855,714,135,17,51,
"Logan County, Illinois",2264,1975,4713,465,112,17,107,10.0
"Saline County, Illinois",1633,1885,4430,689,313,17,165,12.0
"Lake County, Illinois",30861,32170,88406,6818,3355,17,97,0.0
"Massac County, Illinois",795,813,2731,406,69,17,127,894.0
"Cass County, Illinois",686,776,1980,213,55,17,17,0.0
"Huntington County, Indiana",1456,2356,5757,517,240,18,69,0.0
"White County, Indiana",1227,2096,4512,521,154,18,181,6.0
"Jay County, Indiana",698,1537,3427,479,123,18,75,0.0
"Shelby County, Indiana",2414,2204,7077,865,285,18,145,38.0
"Sullivan County, Indiana",918,1660,3255,430,120,18,153,39.0
"Tippecanoe County, Indiana",6186,8544,19586,1644,603,18,157,8.0
"Hamilton County, Indiana",11177,15708,36528,1447,2072,18,57,184.0
"Bartholomew County, Indiana",4033,5568,12232,779,471,18,5,99.0
"Fulton County, Indiana",743,1674,3609,410,131,18,49,144.0
"Noble County, Indiana",1776,2936,6728,609,186,18,113,53.0
"Clark County, Indiana",5947,6944,17128,1433,895,18,19,57.0
"Hendricks County, Indiana",6820,7853,20493,1290,737,18,63,91.0
"Grant County, Indiana",4834,4626,11834,1454,445,18,53,85.0
"Jackson County, Indiana",1940,2435,6505,739,294,18,71,0.0
"Owen County, Indiana",1120,1453,3614,431,239,18,119,38.0
"Whitley County, Indiana",1394,2601,5670,548,106,18,183,15.0
"Clinton County, Indiana",1398,1925,4757,376,181,18,23,4.0
"Union County, Indiana",355,478,1300,102,43,18,161,25.0
"Dearborn County, Indiana",2646,3039,8172,660,295,18,29,0.0
"Lawrence County, Indiana",3226,3748,8384,809,370,18,93,2.0
"Perry County, Indiana",667,1495,3314,227,225,18,123,36.0
"Posey County, Indiana",941,1720,4455,356,130,18,129,0.0
"Carroll County, Indiana",974,1667,3733,180,197,18,15,0.0
"Fountain County, Indiana",710,1476,3064,308,115,18,45,0.0
"Starke County, Indiana",978,1508,3980,456,246,18,149,0.0
"Greene County, Indiana",2333,2424,6013,602,421,18,55,2.0
"Benton County, Iowa",1000,2135,4361,267,114,19,11,11.0
"Dubuque County, Iowa",5362,7313,15734,1472,401,19,61,0.0
"Pocahontas County, Iowa",201,824,1405,187,77,19,151,51.0
"Van Buren County, Iowa",254,822,1505,105,55,19,177,0.0
"Adams County, Iowa",123,484,780,85,58,19,3,13.0
"Audubon County, Iowa",158,719,1219,101,21,19,9,0.0
"Davis County, Iowa",397,756,1421,134,105,19,51,0.0
"Ida County, Iowa",204,818,1378,184,64,19,93,40.0
"Monroe County, Iowa",363,585,1386,183,51,19,135,0.0
"Sioux County, Iowa",692,2520,4921,564,123,19,167,0.0
"Calhoun County, Iowa",331,1199,2003,269,69,19,25,8.0
"Cerro Gordo County, Iowa",1777,4837,8446,931,310,19,33,0.0
"Hardin County, Iowa",434,1737,3272,377,184,19,83,0.0
"Lucas County, Iowa",469,974,1722,256,60,19,117,11.0
"Palo Alto County, Iowa",215,937,1755,146,83,19,147,0.0
"Henry County, Iowa",828,1793,3423,492,88,19,87,0.0
"Jasper County, Iowa",1138,3612,6552,596,277,19,99,0.0
"Poweshiek County, Iowa",630,1877,3422,309,131,19,157,15.0
"Clayton County, Iowa",758,2214,3786,494,83,19,43,0.0
"Bremer County, Iowa",1473,2530,4596,435,171,19,17,6.0
"Emmet County, Iowa",334,880,1741,180,52,19,63,0.0
"Hancock County, Iowa",359,1070,2153,199,91,19,81,0.0
"Jackson County, Iowa",888,1926,3722,448,54,19,97,0.0
"Lee County, Iowa",1531,3333,6231,711,282,19,111,19.0
"Warren County, Iowa",1941,3676,7088,625,316,19,181,0.0
"Mahaska County, Iowa",601,1973,3733,480,161,19,123,28.0
"Clay County, Iowa",315,1607,3135,432,158,19,41,1.0
"Delaware County, Iowa",447,1772,3029,331,88,19,55,5.0
"Bacon County, Georgia",305,531,1591,304,124,13,5,0.0
"Brantley County, Georgia",798,697,2881,250,211,13,25,13.0
"Ben Hill County, Georgia",783,506,2675,613,217,13,17,0.0
"Burke County, Georgia",1059,666,3222,639,272,13,33,10.0
"Catoosa County, Georgia",2940,4650,11129,1385,712,13,47,65.0
"Chattahoochee County, Georgia",107,89,338,64,53,13,53,16.0
"Chattooga County, Georgia",1085,1285,4133,1255,313,13,55,0.0
"Columbia County, Georgia",7214,5251,18769,1876,4091,13,73,25.0
"Decatur County, Georgia",976,1017,4029,920,159,13,87,121.0
"Floyd County, Georgia",4840,5177,15087,1609,928,13,115,18.0
"Forsyth County, Georgia",8768,8883,25016,1944,1389,13,117,94.0
"Habersham County, Georgia",2527,2819,8000,1520,361,13,137,456.0
"Hart County, Georgia",1833,1816,5360,763,242,13,147,117.0
"Lowndes County, Georgia",5768,3430,12575,2665,1950,13,185,25.0
"McIntosh County, Georgia",1130,807,3477,499,669,13,191,55.0
