NAME,Employee,Direct,Medicare,Medicaid,VA,state,noins
Alabama,1758640,346573,189461,324808,95120,1,
Alaska,253522,34804,11109,64487,36696,2,401529.0
Arizona,2312180,425741,139650,724632,96034,4,77408.0
Arkansas,970987,205487,119262,328566,39138,5,583337.0
California,13903155,2889490,657863,4942627,305170,6,213496.0
Colorado,2160513,427170,90820,489217,108671,8,2507400.0
Delaware,373022,53141,23748,92928,14450,10,355984.0
District of Columbia,302113,61972,13947,97494,6973,11,44772.0
Connecticut,1438822,225942,68334,361202,20176,9,21719.0
Florida,6449897,1951558,487408,1305356,318490,12,158713.0
Georgia,3763116,721876,245797,541459,198590,13,2203573.0
Idaho,584867,153446,37549,87375,23804,16,1140400.0
Hawaii,565339,83334,19334,110094,55763,15,151139.0
Illinois,5073816,827573,240399,1114798,68281,17,43807.0
Indiana,2620465,396693,172067,496784,46377,18,733503.0
Iowa,1280763,217476,62322,258054,23893,19,447055.0
Kansas,1137672,215110,61155,122855,50515,20,119635.0
Kentucky,1572841,239189,172767,589533,58117,21,209166.0
Louisiana,1530587,306247,147833,516649,56246,22,207084.0
Maine,495111,97970,45667,115191,17357,23,374720.0
Maryland,2484209,388888,115712,496402,106383,24,86149.0
Massachusetts,2914736,462241,136394,864932,31460,25,300300.0
Michigan,3854515,617356,292113,1113705,53344,26,157162.0
Minnesota,2326571,367650,95633,486205,32392,27,455919.0
Mississippi,968450,186864,112253,234022,49371,28,200521.0
Missouri,2340276,414143,182368,320144,69936,29,310660.0
Montana,352551,96458,24569,85880,17316,30,466497.0
Nebraska,758168,160573,32915,75213,27916,31,74576.0
Nevada,1077446,175487,58428,249394,47007,32,127262.0
New Hampshire,586757,86021,33906,81107,12243,33,269240.0
New Jersey,3655914,516224,164485,668662,33554,34,68226.0
New Mexico,598318,111847,58623,324090,37544,35,579117.0
New York,7439495,1303009,425968,2596079,75494,36,164872.0
North Carolina,3618930,800990,281839,632212,205480,37,965478.0
North Dakota,308317,70723,12114,35125,13823,38,926872.0
Ohio,4542269,605053,297951,1182882,81235,39,42397.0
Oklahoma,1323320,254200,108888,193625,66124,40,567445.0
Oregon,1515094,300275,91473,471599,33321,41,452992.0
Pennsylvania,5124375,858002,314526,1155385,76374,42,234279.0
Rhode Island,425658,76824,27918,121453,8098,44,581198.0
South Carolina,1747040,347199,150378,344573,103618,45,40494.0
South Dakota,317633,75471,18025,37371,15713,46,442356.0
Tennessee,2412384,452914,199175,547825,103145,47,66855.0
Texas,9776607,1790789,505084,1233710,376603,48,545823.0
Vermont,238759,43356,18332,80195,5781,50,3969767.0
Utah,1227519,240518,39880,114835,31179,49,21360.0
Virginia,3325664,615728,173205,358266,323731,51,227873.0
Washington,2919985,476351,149459,694187,146117,53,587863.0
West Virginia,627558,77033,76095,254281,16539,54,393557.0
Wisconsin,2432567,376936,121789,435414,34622,55,92291.0
Wyoming,220937,42835,10456,23670,9474,56,256587.0
Puerto Rico,618137,231830,161898,879500,12404,72,53494.0
